"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","is_norming","monolingual","typically_developing"
2022-11-05,"English (American)","WS","WS",253302,84894,16,"production",28,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253317,84909,16,"production",421,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253330,84922,16,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253581,85173,16,"production",79,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253723,85315,16,"production",47,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254056,85648,16,"production",5,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254057,85649,16,"production",29,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254061,85653,16,"production",34,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254062,85654,16,"production",67,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254064,85656,16,"production",65,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254067,85659,16,"production",54,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254070,85662,16,"production",117,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254071,85663,16,"production",22,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254072,85664,16,"production",48,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254074,85666,16,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254446,86038,16,"production",42,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254493,86085,16,"production",61,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254499,86091,16,"production",94,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254551,86143,16,"production",117,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254892,86484,16,"production",51,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245536,19,17,"production",166,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245547,30,17,"production",60,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245559,42,17,"production",25,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245576,59,17,"production",39,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245607,90,17,"production",319,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245650,133,17,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245652,135,17,"production",55,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245654,137,17,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245660,143,17,"production",226,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245662,145,17,"production",22,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245666,149,17,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245691,174,17,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245759,242,17,"production",83,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245771,254,17,"production",111,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245775,258,17,"production",83,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245781,264,17,"production",290,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245793,276,17,"production",25,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245825,308,17,"production",29,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245844,327,17,"production",90,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245863,346,17,"production",176,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245874,357,17,"production",291,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245875,358,17,"production",58,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245884,367,17,"production",14,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245924,407,17,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245928,411,17,"production",103,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245960,443,17,"production",488,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245966,449,17,"production",42,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245983,466,17,"production",27,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245990,473,17,"production",49,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246095,578,17,"production",149,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246101,584,17,"production",121,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246132,615,17,"production",48,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246135,618,17,"production",68,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246137,620,17,"production",75,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246143,626,17,"production",101,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246144,627,17,"production",13,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246303,786,17,"production",13,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246304,787,17,"production",42,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246312,795,17,"production",56,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246325,808,17,"production",30,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246326,809,17,"production",87,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246344,827,17,"production",28,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246382,865,17,"production",89,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246384,867,17,"production",40,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246424,907,17,"production",65,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246473,956,17,"production",71,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246501,984,17,"production",93,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246505,988,17,"production",71,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246522,1005,17,"production",89,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246537,1020,17,"production",74,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246538,1021,17,"production",88,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246542,1025,17,"production",57,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246543,1026,17,"production",85,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246546,1029,17,"production",28,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246547,1030,17,"production",193,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246560,1043,17,"production",62,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246561,1044,17,"production",58,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246564,1047,17,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246573,1056,17,"production",63,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246575,1058,17,"production",36,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246594,1077,17,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246595,1078,17,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246597,1080,17,"production",129,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246600,1083,17,"production",33,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246773,1256,17,"production",43,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246791,1274,17,"production",43,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246798,1281,17,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246805,1288,17,"production",97,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246806,1289,17,"production",118,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246815,1298,17,"production",104,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246816,1299,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246856,1339,17,"production",31,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246873,1356,17,"production",34,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246902,1385,17,"production",49,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246903,1386,17,"production",167,3625,TRUE,TRUE,TRUE,TRUE
